id,name,code,category_id/id,struct_id/id,sequence,constitutive,constitutive_calculate,condition_select,amount_select,condition_python,amount_percentage_base,amount_python_compute,quantity,amount_percentage,amount_fix,appears_on_payslip,note,not_remunerate,benefit_calculate,affect_payslip,affect_percentage_days,affect_worked_days,constitutive_percentage,non_constitutive_percentage,non_const_percentage_up,non_constitutive_calculate,condition_holiday,apply_only_basic_salary,apply_other_rules
__export__.hr_payroll_severance_pay_rule_01,PROVISION DE PRIMA,PROPRI,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,400,,,none,percentage,1,"provisions.compute_provisions(['BASIC', '120'],codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)",,1,8.3333,,,(Sueldo+aux transporte + prorrateo de comisiones y Horas extras) *8.33% ,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_02,PRIMA LEGAL PROVISIONES SEMESTRE 1,130-1,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,130,,,python,percentage,"result=provisions.get_period_month(from_date=payslip.date_from, to_date=payslip.date_to)","provisions.sum_provisions('PROPRI',codes=['60','65','70','75','321'], period=1,from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333)",,1,100,,, SUMA DE TODAS LAS PROVISIONES PRIMA LEGAL ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_03,PRIMA LEGAL PROVISIONES SEMESTRE 2,130-1,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,130,,,python,percentage,"result=provisions.get_period_month(from_date=payslip.date_from, to_date=payslip.date_to)","provisions.sum_provisions('PROPRI',codes=['60','65','70','75','321'], period=2,from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333)",,1,100,,, SUMA DE TODAS LAS PROVISIONES PRIMA LEGAL ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_04,PRIMA LEGAL SEMESTRE 1,130,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,130,,,python,percentage,"month = 6
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_legal_premium('120',codes=['60','65','70','75','321'], period=1)",,1,100,,,(Promedio de los 6 meses de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el semestre)/360. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_05,PRIMA LEGAL SEMESTRE 2,130,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,130,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_legal_premium('120',codes=['60','65','70','75','321'], period=2)",,1,100,,,(Promedio de los 6 meses de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el semestre)/360. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_06,PROVISION DE PRIMA,PROPRI,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,400,,,none,percentage,1,"provisions.compute_provisions(['BASIC', '120'],codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)",,1,8.3333,,,(Sueldo+aux transporte + prorrateo de comisiones y Horas extras) *8.33% ,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_07,PRIMA LEGAL PROVISIONES SEMESTRE 1,130-1,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,130,,,python,percentage,"month = 6
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.sum_provisions('PROPRI',codes=['60','65','70','75','321'], period=1,from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333)",,1,100,,, SUMA DE TODAS LAS PROVISIONES PRIMA LEGAL ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_08,PRIMA LEGAL PROVISIONES SEMESTRE 2,130-1,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,130,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.sum_provisions('PROPRI',codes=['60','65','70','75','321'], period=2,from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333)",,1,100,,, SUMA DE TODAS LAS PROVISIONES PRIMA LEGAL ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_09,PRIMA LEGAL SEMESTRE 1,130,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,130,,,python,percentage,"month = 6
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_legal_premium('120',codes=['60','65','70','75','321'], period=1)",,1,100,,,(Promedio de los 6 meses de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el semestre)/360. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_10,PRIMA LEGAL SEMESTRE 2,130,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,130,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_legal_premium('120',codes=['60','65','70','75','321'], period=2)",,1,100,,,(Promedio de los 6 meses de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el semestre)/360. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,
